#chr	-	ID	LABLE	start	end	col
chr	-	1	1	0	158530000	chr1
chr	-	2	2	0	136230000	chr2
chr	-	3	3	0	121010000	chr3
chr	-	4	4	0	120000000	chr4
chr	-	5	5	0	120090000	chr5
chr	-	6	6	0	117810000	chr6
chr	-	7	7	0	110680000	chr7
chr	-	8	8	0	113320000	chr8
chr	-	9	9	0	105450000	chr9
chr	-	10	10	0	103310000	chr10
chr	-	11	11	0	106980000	chr11
chr	-	12	12	0	87220000	chr12
chr	-	13	13	0	83470000	chr13
chr	-	14	14	0	82400000	chr14
chr	-	15	15	0	85010000	chr15
chr	-	16	16	0	81010000	chr16
chr	-	17	17	0	73170000	chr17
chr	-	18	18	0	65820000	chr18
chr	-	19	19	0	63450000	chr19
chr	-	20	20	0	71970000	chr20
chr	-	21	21	0	69860000	chr21
chr	-	22	22	0	60770000	chr22
chr	-	23	23	0	52500000	chr23
chr	-	24	24	0	62320000	chr24
chr	-	25	25	0	42350000	chr25
chr	-	26	26	0	51990000	chr26
chr	-	27	27	0	45610000	chr27
chr	-	28	28	0	45940000	chr28
chr	-	29	29	0	51100000	chr29
